GODREJ,LENDINGKART,FLEXILOANS,INDIFI,PROTIUM,BAJAJ,ARTHMATE,POONAWALA,KREDIT BEE,AMBIT,TATA PL,TATA BL,INCRED,FIBE,IIFL,CLIX CAPITAL,PAYSENSE,CREDIT SAISON,LOAN TAP,ABFL,L&T FINANCE,OLYV,USFB PL,MAS,USFB BL,TruCap,TECHFINO,BAJAJ RURAL
414001,441208,110001,110001,517403,515004,515004,515004,500001,110001,100034,421506,110001,410202,110001,110001,753016,110001,246232,110001,110005,201301,124010,380015,110001,Faridabad,570028,573201
414002,441217,110002,110002,517124,515731,515731,515731,500002,110003,100067,400708,110002,410220,110002,110002,382145,110002,263401,110002,110009,431001,124021,414003,110002,Ghaziabad,571130,571401
414003,441223,110003,110003,517421,515002,515002,515002,500003,110006,100092,421501,110003,509382,110003,110003,403503,110003,403519,110003,110010,560068,124113,305001,110003,Gurugram,571311,574201
414005,441614,110004,110004,517167,515766,515766,515766,500004,110007,100231,400076,110004,509335,110004,110004,403506,110004,586109,110004,110012,122001,124141,301001,110004,Gandhidham - Hub,570015,581110
414006,441701,110005,110005,517129,515415,515415,515415,500005,110013,101213,400059,110005,509340,110005,110005,140117,110005,629304,110005,110014,110059,124303,388001,110005,Mundra,570018,571234
414110,441702,110006,110006,517127,515822,515822,515822,500006,110014,108101,400058,110006,509219,110006,110006,680505,110006,638445,110006,110015,500018,124401,400072,110006,Bhuj,570026,572101
414111,441801,110007,110007,517416,515445,515445,515445,500007,110017,110000,400069,110007,509204,110007,110007,480112,110007,110001,110007,110016,500072,124406,431001,110007,Junagarh,570020,563101
414201,441806,110008,110008,517426,515001,515001,515001,500008,110019,110001,400093,110008,509351,110008,110008,481117,110008,110002,110008,110017,560037,124411,560027,110008,Jamnagar,570010,571602
414601,441807,110009,110009,517422,515741,515741,515741,500009,110020,110002,400099,110009,509409,110009,110009,688530,110009,110003,110009,110019,500055,124412,392001,110009,Baroda/ Ankleshwar,570004,562159
414606,441901,110010,110010,517132,515775,515775,515775,500010,110024,110003,400053,110010,509205,110010,110010,689571,110010,110004,110010,110020,110092,124501,364001,110010,Ahmedabad,571130,582101
380001,441902,110011,110011,517408,515455,515455,515455,500011,110025,110004,421503,110011,509371,110011,110011,110043,110011,110005,110011,110021,560100,125054,311001,110011,Ujjain - Spoke,570008,583201
380002,441911,110012,110012,517419,515465,515465,515465,500012,110031,110005,400050,110012,523286,110012,110012,110044,110012,110006,110012,110023,560076,125055,462011,110012,Dewas - Spoke,571311,301001
380004,441916,110014,110013,517002,515751,515751,515751,500013,110032,110006,400051,110013,521256,110013,110013,110086,110013,110007,110013,110024,110094,125056,334001,110013,Mehsana,571311,323001
380005,442504,110015,110014,517004,515867,515867,515867,500014,110043,110007,400085,110014,521245,110014,110014,110095,110014,110008,110014,110025,560045,125058,495001,110014,Himmatnagar,570026,303702
380006,442604,110016,110015,517126,515763,515763,515763,500015,110044,110008,400084,110015,521286,110015,110015,121001,110015,110009,110015,110026,401209,125060,160022,110015,Vapi / Valsad,570008,335512
380007,442606,110017,110016,517001,515767,515767,515767,500016,110048,110009,400078,110016,521110,110016,110016,201001,110016,110010,110016,110027,410206,125075,600017,110016,Chandigarh,570010,333001
380008,442704,110018,110017,517599,515722,515722,515722,500017,110049,110010,400042,110017,521102,110017,110017,201009,110017,110011,110017,110028,248001,125101,641009,110017,Rohtak,570008,303108
380009,442705,110019,110018,517131,515863,515863,515863,500018,110051,110011,400082,110018,521109,110018,110018,400005,110018,110012,110018,110029,560078,125102,577002,110018,Ludhiana,570025,332001
380013,442709,110020,110019,517125,515425,515425,515425,500019,110053,110012,400066,110019,370030,110019,110019,400022,110019,110013,110020,110030,560064,125103,248001,110019,Jalandhar,570002,635802
380014,442710,110021,110020,517429,515402,515402,515402,500020,110054,110013,400091,110020,370015,110020,110020,400059,110020,110014,110021,110034,560091,125110,424001,110020,Yamunanagar,570008,629177
380015,442918,110022,110021,517128,515761,515761,515761,500022,110062,110014,400092,110021,370001,110021,110021,400063,110021,110015,110022,110035,560032,147001,370201,110021,Karnal,570008,636701
380016,481001,110023,110022,516105,515787,515787,515787,500023,110065,110015,400008,110022,370610,110022,110022,400068,110022,110016,110023,110037,500053,147002,383001,110022,Panipat,571311,606202
380018,481051,110024,110023,516101,515413,515413,515413,500024,110076,110016,400614,110023,370605,110023,110023,400079,110023,110017,110024,110038,517501,147003,500016,110023,Jodhpur - HUB,570028,631501
380019,481102,110026,110024,516129,515870,515870,515870,500025,110084,110017,400004,110024,370040,110024,110024,400092,110024,110018,110025,110039,500008,147004,452010,110024,Nashik - HUB,570016,635001
380021,481105,110027,110025,516110,515871,515871,515871,500026,110091,110018,400071,110025,360023,110025,110025,400093,110025,110019,110027,110041,302012,147005,482001,110025,Bikaner - HUB,570017,607803
380022,481111,110028,110026,517507,515411,515411,515411,500027,110092,110019,400074,110026,394355,110026,110026,400604,110026,110020,110028,110043,452001,147007,303805,110026,Udaipur - HUB,570027,632401
380023,481115,110029,110027,517643,515408,515408,515408,500028,110093,110020,400001,110027,394350,110027,110027,400605,110027,110021,110029,110045,394210,147021,425001,110027,Jaipur,570010,635601
380024,481116,110030,110028,517592,515401,515401,515401,500029,110094,110021,400013,110028,392110,110028,110028,400606,110028,110022,110030,110046,110044,147103,361001,110028,Aurangabad- HUB,570008,606601
380026,481117,110031,110029,517589,515812,515812,515812,500030,110095,110022,400022,110029,389360,110029,110029,400607,110029,110023,110031,110047,110086,147111,342001,110029,Ahmednagar,570012,605602
380027,481222,110032,110030,517587,515701,515701,515701,500031,110096,110023,400021,110030,389130,110030,110030,400701,110030,110024,110032,110048,411014,147201,362001,110030,Jalna,570014,625516
